repo,commit,parent_commit,file_path,method_name,method_start,method_end,hunk_id,github_link
apache/ant-ivy,899f9fd0a9690581f33a715bb5f000397f1bafef,aefb24facc745fdec7b16fa28aac6538e4a8b00c,src/java/org/apache/ivy/util/url/HttpClientHandler.java,checkStatusCode,179,194,5a82f5ab912063217b889514,https://github.com/apache/ant-ivy/commit/899f9fd0a9690581f33a715bb5f000397f1bafef#diff-9f36586ec0a0ca371556969468518af32b083e39be86746dbefaf8a015da2b85
apache/ant-ivy,899f9fd0a9690581f33a715bb5f000397f1bafef,aefb24facc745fdec7b16fa28aac6538e4a8b00c,src/java/org/apache/ivy/util/url/BasicURLHandler.java,checkStatusCode,96,110,5a82f5ab912063217b889511,https://github.com/apache/ant-ivy/commit/899f9fd0a9690581f33a715bb5f000397f1bafef#diff-bc6c9c91b6ae57c5d096fa1321ae481292a393630801da17d020be80cb206626
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/ant/IvyRepositoryReport.java,doExecute,73,130,5a82f5bd912063217a88a212,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-28b436eb4fc8c167c9b6bde2c26d717cabe0e691f262489aecba31d1c78fbe2e
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/install/InstallEngine.java,install,65,182,5a82f5bd912063217a88a216,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-9712513d9199394a5b9dddda33b50fda289a178a8635c1de6e613803aeb90b36
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java,listTokenValues,57,64,5a82f5bd912063217a88a21b,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-9a36e9569ff0d3235a0ac31d74892cafef800bc4baf30f1955b4fe60e0d29375
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java,listOrganisationEntries,66,73,5a82f5bd912063217a88a21c,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-9a36e9569ff0d3235a0ac31d74892cafef800bc4baf30f1955b4fe60e0d29375
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java,listOrganisations,75,89,5a82f5bd912063217a88a21e,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-9a36e9569ff0d3235a0ac31d74892cafef800bc4baf30f1955b4fe60e0d29375
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java,listModuleEntries,91,98,5a82f5bd912063217a88a221,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-9a36e9569ff0d3235a0ac31d74892cafef800bc4baf30f1955b4fe60e0d29375
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java,listModules,100,114,5a82f5bd912063217a88a223,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-9a36e9569ff0d3235a0ac31d74892cafef800bc4baf30f1955b4fe60e0d29375
apache/ant-ivy,66310f553103e515ab41aa573aaf2e4101efa635,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java,listRevisionEntries,116,123,5a82f5bd912063217a88a225,https://github.com/apache/ant-ivy/commit/66310f553103e515ab41aa573aaf2e4101efa635#diff-9a36e9569ff0d3235a0ac31d74892cafef800bc4baf30f1955b4fe60e0d29375
