repo,parent commit,rank,RR,AP,hit@10,ground truth size,inner corpus size,outer corpus size,repo size
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,1.0,1.0,1.0,1.0,0,33,5404,5438
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,1.0,1.0,1.0,1.0,0,8,5429,5438
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,14.0,0.07142857142857142,0.01457201410832543,0.0,7,34,3917,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,15.0,0.06666666666666667,0.012707859744863135,0.0,7,1,3950,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,51.0,0.0196078431372549,0.016796928561634443,0.0,1,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,116.0,0.008620689655172414,0.010977011494252873,0.0,1,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,145.0,0.006896551724137931,0.007649956534337873,0.0,1,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,64.0,0.015625,0.018338815789473682,0.0,1,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,87.0,0.011494252873563218,0.01374712643678161,0.0,1,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,84.0,0.011904761904761904,0.012896825396825396,0.0,1,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,79.0,0.012658227848101266,0.013523358528367179,0.0,1,10,3941,3952
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,9.0,0.1111111111111111,0.03070262220737545,1.0,8,21,4423,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,50.0,0.02,0.011940197142991812,0.0,4,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,4.0,0.25,0.07813897319935532,1.0,4,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,27.0,0.037037037037037035,0.027549534380147723,0.0,4,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,36.0,0.027777777777777776,0.020285229421366045,0.0,4,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,13.0,0.07692307692307693,0.06654903154903155,0.0,4,81,4363,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,6.0,0.16666666666666666,0.10525532678870078,1.0,7,11,4433,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1.0,1.0,0.1514058726803974,1.0,7,11,4433,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,2.0,0.5,0.11947145829860085,1.0,8,43,4401,4445
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,4.0,0.25,0.08389693723373197,1.0,8,73,4371,4445
apache/ant-ivy,1e19908591da85e378e26b0a99d07406cd878ee1,24.0,0.041666666666666664,0.041666666666666664,0.0,0,134,1623,1758
apache/ant-ivy,1e19908591da85e378e26b0a99d07406cd878ee1,24.0,0.041666666666666664,0.041666666666666664,0.0,0,14,1743,1758
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,32.0,0.03125,0.027820121951219513,0.0,1,18,1917,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,1.0,1.0,0.6,1.0,1,18,1917,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,39.0,0.02564102564102564,0.03504273504273504,0.0,1,18,1917,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,2.0,0.5,0.16829668035746526,1.0,3,15,1920,1936
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,7.0,0.14285714285714285,0.15091520798042538,1.0,3,3,1932,1936
apache/ant-ivy,547691c621d6cf7c9ceab9c90d2097a35e79c1db,4.0,0.25,0.25,1.0,0,3,4123,4127
apache/ant-ivy,547691c621d6cf7c9ceab9c90d2097a35e79c1db,3.0,0.3333333333333333,0.3333333333333333,1.0,0,62,4064,4127
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,2.0,0.5,0.2696078431372549,1.0,1,21,1818,1840
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,3.0,0.3333333333333333,0.3333333333333333,1.0,0,40,1799,1840
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,17.0,0.058823529411764705,0.058823529411764705,0.0,0,40,1799,1840
