repo,parent commit,idx,method name,rank,RR,AP,hit@10,corpus size,ground truth size
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,491,checkStatusCode,1.0,1.0,1.0,1.0,5437,1
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,529,checkStatusCode,1.0,1.0,1.0,1.0,5437,1
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,3580,doExecute,14.0,0.07142857142857142,0.014487283123496682,0.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,2001,install,15.0,0.06666666666666667,0.012707565741465622,0.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1697,listTokenValues,14.0,0.07142857142857142,0.056584224301889474,0.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1698,listOrganisationEntries,1.0,1.0,0.25218199443720796,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1699,listOrganisations,1.0,1.0,0.23533371942814665,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1700,listModuleEntries,1.0,1.0,0.28411043948664816,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1701,listModules,1.0,1.0,0.2630400221823094,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1702,listRevisionEntries,1.0,1.0,0.19903900306459243,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1703,listRevisions,1.0,1.0,0.24809177442528732,1.0,3951,8
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,2416,findResourceUsingPattern,10.0,0.1,0.02905857142215583,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1744,MyModuleDescriptorProvider,16.0,0.0625,0.04774960008682835,0.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1745,provideModule,4.0,0.25,0.09990333421201826,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1746,getMdFromCache,2.0,0.5,0.127171157823957,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1747,getStaledMd,2.0,0.5,0.12066271057665968,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1758,cacheModuleDescriptor,21.0,0.047619047619047616,0.044926135436535994,0.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,3305,parseDescriptor,6.0,0.16666666666666666,0.10355204527922278,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,3308,parseOtherPom,1.0,1.0,0.1783899878502324,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,3254,PomReader,2.0,0.5,0.11026718204875591,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,3038,parseOtherIvyFile,5.0,0.2,0.07352615257552512,1.0,4444,9
apache/ant-ivy,88004447d956a97b0e1765c73ae7649029dc87a2,1611,getArchivePathInCache,51.0,0.0196078431372549,0.0196078431372549,0.0,4014,1
apache/ant-ivy,88004447d956a97b0e1765c73ae7649029dc87a2,1644,getOriginalMetadataArtifact,86.0,0.011627906976744186,0.011627906976744186,0.0,4014,1
apache/ant-ivy,1e19908591da85e378e26b0a99d07406cd878ee1,115,retrieve,41.0,0.024390243902439025,0.024390243902439025,0.0,1757,1
apache/ant-ivy,1e19908591da85e378e26b0a99d07406cd878ee1,1635,execute,24.0,0.041666666666666664,0.041666666666666664,0.0,1757,1
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,707,update,21.0,0.047619047619047616,0.048701298701298704,0.0,1935,4
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,709,startElement,1.0,1.0,0.37976147012291595,1.0,1935,4
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,725,copyHeader,1.0,1.0,0.2996951219512195,1.0,1935,4
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,698,startElement,2.0,0.5,0.16629618428348203,1.0,1935,4
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,1084,parse,8.0,0.125,0.1378032189632909,1.0,1935,4
apache/ant-ivy,547691c621d6cf7c9ceab9c90d2097a35e79c1db,1467,publish,4.0,0.25,0.25,1.0,4126,1
apache/ant-ivy,547691c621d6cf7c9ceab9c90d2097a35e79c1db,3506,doExecute,3.0,0.3333333333333333,0.3333333333333333,1.0,4126,1
apache/ant-ivy,63b2ea841abd0069145443e5b140148960227b6e,574,update,232.0,0.004310344827586207,0.004310344827586207,0.0,1462,1
apache/ant-ivy,63b2ea841abd0069145443e5b140148960227b6e,577,startElement,17.0,0.058823529411764705,0.058823529411764705,0.0,1462,1
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,847,getDependency,2.0,0.5,0.2692307692307692,1.0,1839,2
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,724,getDependency,3.0,0.3333333333333333,0.19298245614035087,1.0,1839,2
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,725,isResolved,3.0,0.3333333333333333,0.2222222222222222,1.0,1839,2
apache/ant-ivy,e556b3cdeb75a6ed2285f581164d76f743ab85ee,2420,findArtifactRef,34.0,0.029411764705882353,0.029411764705882353,0.0,4327,1
apache/ant-ivy,e556b3cdeb75a6ed2285f581164d76f743ab85ee,2423,findSnapshotVersion,29.0,0.034482758620689655,0.034482758620689655,0.0,4327,1
apache/ant-ivy,24f7524858704327230c6348fcd1ec99b8e59d3b,179,getErrors,4.0,0.25,0.14643313264002916,1.0,3378,5
