repo,parent commit,idx,method name,rank,RR,AP,hit@10,corpus size,ground truth size
apache/commons-math,d385c90c2e74fdfc0070f7d92d6d0c260251fc16,7468,BicubicSplineInterpolatingFunction,7.0,0.14285714285714285,0.17179733846400513,1.0,8298,4
apache/commons-math,d385c90c2e74fdfc0070f7d92d6d0c260251fc16,7479,BicubicSplineFunction,1.0,1.0,0.3645645645645646,1.0,8298,4
apache/commons-math,d385c90c2e74fdfc0070f7d92d6d0c260251fc16,7469,value,55.0,0.01818181818181818,0.017940057620790123,0.0,8298,4
apache/commons-math,d385c90c2e74fdfc0070f7d92d6d0c260251fc16,7454,interpolate,1.0,1.0,0.4419642857142857,1.0,8298,4
apache/commons-math,d385c90c2e74fdfc0070f7d92d6d0c260251fc16,7501,interpolate,1.0,1.0,0.3878299120234604,1.0,8298,4
apache/commons-math,fbd429f2d7afa11cb747fa48f62c5c8d0b5a19e0,2252,side,13.0,0.07692307692307693,0.055607355607355614,0.0,8000,3
apache/commons-math,fbd429f2d7afa11cb747fa48f62c5c8d0b5a19e0,2253,split,1.0,1.0,0.7192982456140351,1.0,8000,3
apache/commons-math,fbd429f2d7afa11cb747fa48f62c5c8d0b5a19e0,2254,addArcLimit,1.0,1.0,0.41931216931216936,1.0,8000,3
apache/commons-math,fbd429f2d7afa11cb747fa48f62c5c8d0b5a19e0,2255,createSplitPart,1.0,1.0,0.6748633879781422,1.0,8000,3
apache/commons-math,a94ff90ab6cd2d92ccb2eb1fd7913b4e5256f02b,4033,kolmogorovSmirnovTest,12.0,0.08333333333333333,0.08333333333333333,0.0,7698,1
apache/commons-math,a94ff90ab6cd2d92ccb2eb1fd7913b4e5256f02b,4052,exactP,16.0,0.0625,0.0625,0.0,7698,1
apache/commons-math,2c9438da238f61f9e952d301cf22fbe70c5a9405,4871,hasNext,21.0,0.047619047619047616,0.047619047619047616,0.0,7949,1
apache/commons-math,2c9438da238f61f9e952d301cf22fbe70c5a9405,4872,next,98.0,0.01020408163265306,0.01020408163265306,0.0,7949,1
apache/commons-math,5cdd5e950c15b7e641189891e59719948019f6e5,673,dotProduct,1.0,1.0,1.0,1.0,5610,2
apache/commons-math,5cdd5e950c15b7e641189891e59719948019f6e5,903,dotProduct,1.0,1.0,1.0,1.0,5610,2
apache/commons-math,5cdd5e950c15b7e641189891e59719948019f6e5,617,dotProduct,1.0,1.0,0.8333333333333333,1.0,5610,2
apache/commons-math,635bc4b1b3a00b89d8653500f68ae56cc73fd959,2833,reinitializeBegin,21.0,0.047619047619047616,0.047619047619047616,0.0,5078,1
apache/commons-math,635bc4b1b3a00b89d8653500f68ae56cc73fd959,2849,evaluateStep,83.0,0.012048192771084338,0.012048192771084338,0.0,5078,1
apache/commons-math,39a80bf2cda13f28b3430733e645b7fd13bb92ba,3284,gcd,1.0,1.0,1.0,1.0,4213,1
apache/commons-math,39a80bf2cda13f28b3430733e645b7fd13bb92ba,3293,lcm,3.0,0.3333333333333333,0.3333333333333333,1.0,4213,1
apache/commons-math,e31a222cef8ef08f4dafb01f41b6a2d6c26d64fc,5985,EmpiricalDistribution,270.0,0.003703703703703704,0.003255522321886438,0.0,8288,4
apache/commons-math,e31a222cef8ef08f4dafb01f41b6a2d6c26d64fc,6005,getNextValue,1.0,1.0,0.3024274877997679,1.0,8288,4
apache/commons-math,e31a222cef8ef08f4dafb01f41b6a2d6c26d64fc,6024,sample,2.0,0.5,0.13425428907616332,1.0,8288,4
apache/commons-math,e31a222cef8ef08f4dafb01f41b6a2d6c26d64fc,6025,reseedRandomGenerator,107.0,0.009345794392523364,0.010395205364326057,0.0,8288,4
apache/commons-math,e31a222cef8ef08f4dafb01f41b6a2d6c26d64fc,6031,getKernel,2.0,0.5,0.15646788213810597,1.0,8288,4
apache/commons-math,6d877485ed001c609de972d6e88720511665afb2,3263,RungeKuttaStepInterpolator,36.0,0.027777777777777776,0.03490932419475682,0.0,5645,6
apache/commons-math,6d877485ed001c609de972d6e88720511665afb2,3265,reinitialize,5.0,0.2,0.13379333741365876,1.0,5645,6
apache/commons-math,6d877485ed001c609de972d6e88720511665afb2,3266,writeExternal,6.0,0.16666666666666666,0.04535304952030292,1.0,5645,6
apache/commons-math,6d877485ed001c609de972d6e88720511665afb2,3267,readExternal,7.0,0.14285714285714285,0.09657769846914584,1.0,5645,6
