repo,parent commit,idx,method name,rank,RR,AP,hit@10,corpus size,ground truth size
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,491,checkStatusCode,1.0,1.0,1.0,1.0,5437,1
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,529,checkStatusCode,1.0,1.0,1.0,1.0,5437,1
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,3580,doExecute,38.0,0.02631578947368421,0.011797560451796918,0.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,2001,install,28.0,0.03571428571428571,0.009690823983299342,0.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1697,listTokenValues,22.0,0.045454545454545456,0.04836605846008093,0.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1698,listOrganisationEntries,1.0,1.0,0.20141901561109318,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1699,listOrganisations,2.0,0.5,0.13061487997091276,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1700,listModuleEntries,1.0,1.0,0.2639118945570558,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1701,listModules,1.0,1.0,0.24737837866675133,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1702,listRevisionEntries,1.0,1.0,0.16374419314216887,1.0,3951,8
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,1703,listRevisions,1.0,1.0,0.1717951684333808,1.0,3951,8
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,2416,findResourceUsingPattern,64.0,0.015625,0.01754527522798094,0.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1744,MyModuleDescriptorProvider,7.0,0.14285714285714285,0.037824208328666224,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1745,provideModule,5.0,0.2,0.11212587528785978,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1746,getMdFromCache,2.0,0.5,0.1753797458445306,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1747,getStaledMd,1.0,1.0,0.21101927112611885,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,1758,cacheModuleDescriptor,14.0,0.07142857142857142,0.031103303678544136,0.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,3305,parseDescriptor,7.0,0.14285714285714285,0.06946426599349391,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,3308,parseOtherPom,1.0,1.0,0.14000729242678372,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,3254,PomReader,4.0,0.25,0.06242561157351959,1.0,4444,9
apache/ant-ivy,0baa78fc53467ec1e46db1c52877a3973f753d6b,3038,parseOtherIvyFile,7.0,0.14285714285714285,0.06366782498083427,1.0,4444,9
apache/ant-ivy,88004447d956a97b0e1765c73ae7649029dc87a2,1611,getArchivePathInCache,49.0,0.02040816326530612,0.02040816326530612,0.0,4014,1
apache/ant-ivy,88004447d956a97b0e1765c73ae7649029dc87a2,1644,getOriginalMetadataArtifact,39.0,0.02564102564102564,0.02564102564102564,0.0,4014,1
apache/ant-ivy,1e19908591da85e378e26b0a99d07406cd878ee1,115,retrieve,238.0,0.004201680672268907,0.004201680672268907,0.0,1757,1
apache/ant-ivy,1e19908591da85e378e26b0a99d07406cd878ee1,1635,execute,26.0,0.038461538461538464,0.038461538461538464,0.0,1757,1
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,707,update,49.0,0.02040816326530612,0.017187604314145285,0.0,1935,4
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,709,startElement,2.0,0.5,0.15057523697853195,1.0,1935,4
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,725,copyHeader,4.0,0.25,0.07111075974506101,1.0,1935,4
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,698,startElement,4.0,0.25,0.0727386313629308,1.0,1935,4
apache/ant-ivy,b61f5d2ff2487d639ae8d1a86c1acb3b6f4825c8,1084,parse,67.0,0.014925373134328358,0.0175807591852368,0.0,1935,4
apache/ant-ivy,547691c621d6cf7c9ceab9c90d2097a35e79c1db,1467,publish,20.0,0.05,0.05,0.0,4126,1
apache/ant-ivy,547691c621d6cf7c9ceab9c90d2097a35e79c1db,3506,doExecute,27.0,0.037037037037037035,0.037037037037037035,0.0,4126,1
apache/ant-ivy,63b2ea841abd0069145443e5b140148960227b6e,574,update,791.0,0.0012642225031605564,0.0012642225031605564,0.0,1462,1
apache/ant-ivy,63b2ea841abd0069145443e5b140148960227b6e,577,startElement,74.0,0.013513513513513514,0.013513513513513514,0.0,1462,1
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,847,getDependency,3.0,0.3333333333333333,0.18253968253968253,1.0,1839,2
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,724,getDependency,5.0,0.2,0.13571428571428573,1.0,1839,2
apache/ant-ivy,0d07eac1699dfa39048a0edb66e11308669a9961,725,isResolved,16.0,0.0625,0.05689102564102564,0.0,1839,2
apache/ant-ivy,e556b3cdeb75a6ed2285f581164d76f743ab85ee,2420,findArtifactRef,89.0,0.011235955056179775,0.011235955056179775,0.0,4327,1
apache/ant-ivy,e556b3cdeb75a6ed2285f581164d76f743ab85ee,2423,findSnapshotVersion,5.0,0.2,0.2,1.0,4327,1
apache/ant-ivy,24f7524858704327230c6348fcd1ec99b8e59d3b,179,getErrors,2.0,0.5,0.3225906735751295,1.0,3378,5
